qid_doc,qid,docno,OkapiTF,TFIDF,BM25,Laplace,JelinekMercer,ES_Builtin,label
41-354,41,354,2.257323,0.0,0.0,0.0,-92.883924,0.0,0
41-979,41,979,2.245693,0.0,0.0,0.0,-93.224108,0.0,0
41-799,41,799,2.24415,2.126633,6.317313,-118.130665,-93.789848,6.359197,0
41-220,41,220,2.243388,2.363388,6.930737,0.0,-93.319101,7.12397,0
41-1121,41,1121,2.241477,0.0,0.0,0.0,0.0,0.0,0
41-527,41,527,2.234312,0.0,0.0,0.0,0.0,0.0,0
41-364,41,364,2.233769,0.0,0.0,-117.01895,-94.220494,0.0,0
41-1198,41,1198,2.223228,0.0,0.0,-118.026394,0.0,0.0,0
41-698,41,698,2.218326,3.533161,9.48524,0.0,-93.465708,9.72747,0
41-196,41,196,2.206039,0.0,0.0,0.0,0.0,0.0,0
41-441,41,441,2.202223,0.0,0.0,-117.872042,0.0,0.0,0
41-11,41,11,2.194081,3.260482,9.328075,0.0,0.0,9.407205,0
41-627,41,627,2.192632,0.0,0.0,0.0,0.0,0.0,0
41-634,41,634,2.190137,2.961958,8.118667,0.0,0.0,8.107161,0
41-893,41,893,2.188533,3.430837,9.904957,0.0,-93.28943,9.968896,0
41-1276,41,1276,2.187562,0.0,0.0,0.0,0.0,0.0,0
41-53,41,53,2.186314,2.099662,6.262142,-118.717038,-93.936367,6.282661,0
41-1337,41,1337,2.179442,0.0,0.0,0.0,-93.691684,0.0,0
41-134,41,134,2.17928,0.0,0.0,-118.781375,0.0,0.0,0
41-421,41,421,2.174683,1.998404,5.599783,0.0,-93.719226,5.694709,0
41-1043,41,1043,2.169947,0.0,0.0,0.0,-93.746617,0.0,0
41-724,41,724,2.169842,2.66943,7.427973,0.0,0.0,7.520478,0
41-808,41,808,2.163083,0.0,0.0,0.0,-93.95366,0.0,0
41-640,41,640,2.159924,2.972668,8.787002,-117.47033,-94.534198,9.016992,0
41-1259,41,1259,2.158304,3.240958,8.347044,0.0,0.0,8.362011,0
41-797,41,797,2.151033,0.0,0.0,-117.469685,-94.602403,0.0,0
41-199,41,199,2.146983,0.0,0.0,-117.583578,0.0,0.0,0
41-820,41,820,2.138772,0.0,0.0,-118.382423,0.0,0.0,0
41-859,41,859,2.126577,0.0,0.0,-118.418549,-94.291184,0.0,0
41-1164,41,1164,2.123604,0.0,0.0,-118.249941,-94.524323,0.0,0
41-131,41,131,2.123541,0.0,0.0,-117.624521,0.0,0.0,0
41-301,41,301,2.117593,2.061391,5.687667,0.0,0.0,5.673231,0
41-129,41,129,2.108448,0.0,0.0,-118.601112,-94.404113,0.0,0
41-657,41,657,2.108267,0.0,0.0,0.0,0.0,0.0,0
41-1163,41,1163,2.10586,0.0,0.0,0.0,-94.115116,0.0,0
41-1004,41,1004,2.104708,2.410238,7.070606,0.0,-93.646946,7.009167,0
41-1325,41,1325,2.100006,0.0,0.0,-117.692788,-94.839678,0.0,0
41-315,41,315,2.094102,0.0,5.964771,-116.40595,-88.694496,6.096505,0
41-314,41,314,2.092222,0.0,0.0,0.0,0.0,0.0,0
41-43,41,43,2.092067,0.0,0.0,0.0,0.0,0.0,0
41-138,41,138,2.088033,0.0,0.0,-118.455401,0.0,0.0,0
41-1284,41,1284,2.0838,0.0,5.589086,0.0,0.0,5.788514,0
41-36,41,36,2.076494,2.892838,8.445626,0.0,-93.817574,8.476288,0
49-756,49,756,4.544639,7.309444,18.617191,-161.505786,-130.655315,18.647703,0
49-365,49,365,4.527125,2.875793,7.80687,-161.524296,-124.358695,7.903254,0
49-614,49,614,4.507948,2.979468,8.203577,-160.941672,-124.665306,8.270094,0
49-1242,49,1242,4.487433,3.022416,8.216769,-159.919174,-124.424495,8.217455,0
49-837,49,837,4.358943,3.480742,9.776596,-162.222775,-119.266686,9.912902,0
49-802,49,802,4.317106,0.0,0.0,-162.302937,-130.918054,0.0,0
49-595,49,595,4.297968,2.367206,6.716529,-161.043028,-125.299614,6.899005,0
49-653,49,653,4.243403,2.213343,6.39192,0.0,-124.759129,6.52791,0
49-548,49,548,4.221477,2.851365,8.013538,-159.654054,-126.147926,8.281552,0
49-613,49,613,4.216907,2.867018,8.03375,0.0,-125.108964,8.014839,0
49-12,49,12,4.182829,4.82053,12.429683,0.0,-132.29366,12.551741,0
49-1261,49,1261,4.177445,2.201466,6.390042,-160.571771,-126.053162,6.474471,0
49-46,49,46,4.177315,6.677636,17.324559,0.0,-131.126917,17.648108,0
49-1361,49,1361,4.176424,2.649721,7.065291,0.0,-132.200485,7.17581,0
49-484,49,484,4.171982,2.589197,7.286805,-160.434463,-126.021802,7.325209,0
49-1342,49,1342,4.171542,2.131936,6.29675,-160.116744,-126.15213,6.462091,0
49-615,49,615,4.167272,3.063041,8.457591,0.0,-125.080431,8.671068,0
49-1311,49,1311,4.150826,2.506623,6.807732,0.0,-131.229855,6.817378,0
49-845,49,845,4.130282,2.226356,6.609208,-161.566314,-126.249717,6.677651,0
49-1260,49,1260,4.113057,0.0,0.0,0.0,-131.545802,0.0,0
49-366,49,366,4.07124,2.323917,6.694027,0.0,-126.172841,6.705604,0
49-1175,49,1175,4.064803,2.192727,6.145933,-160.632872,-133.089485,6.218939,0
49-1019,49,1019,4.060608,2.114094,0.0,-161.815313,-133.459835,0.0,0
49-552,49,552,4.060313,0.0,0.0,0.0,-133.317331,0.0,0
49-1363,49,1363,4.041157,0.0,0.0,0.0,-133.225762,0.0,0
49-1024,49,1024,4.038933,2.879547,7.549403,-162.124555,-132.831213,7.605704,0
49-884,49,884,4.026471,3.461896,8.590204,0.0,-131.710731,8.655499,0
49-624,49,624,4.012659,0.0,5.708568,-162.068681,-126.692293,5.819278,0
49-883,49,883,3.998071,3.757022,9.953359,0.0,-132.612188,10.055103,0
49-981,49,981,3.979481,2.331485,5.960443,0.0,-132.658368,5.949992,0
49-1025,49,1025,3.97232,2.236834,5.774685,0.0,-133.053567,5.822055,0
49-1248,49,1248,3.969791,2.620945,8.234003,-159.66961,-120.913379,8.231599,0
49-1217,49,1217,3.96287,2.139415,6.050374,0.0,-132.818127,6.053828,0
49-781,49,781,3.951405,3.298326,9.116164,0.0,-127.443458,9.09013,0
49-787,49,787,3.944241,0.0,0.0,0.0,-132.894973,0.0,0
49-899,49,899,3.938572,0.0,0.0,0.0,-133.810912,0.0,0
49-51,49,51,3.935714,4.153593,11.305538,-161.621772,-132.980345,11.55152,0
49-151,49,151,3.92791,2.123577,6.199424,-160.646371,-126.942513,6.415947,0
49-799,49,799,3.926231,0.0,0.0,-162.172737,-127.361667,0.0,0
49-262,49,262,3.919134,2.858015,9.007951,-158.908134,-115.306132,9.218835,0
49-520,49,520,3.916295,2.354732,6.949415,0.0,-127.283768,6.948058,0
49-123,49,123,3.91603,0.0,0.0,-161.754185,-133.691222,0.0,0
49-1331,49,1331,3.909033,0.0,0.0,0.0,-132.972582,0.0,0
49-504,49,504,3.905229,0.0,0.0,0.0,-133.528992,0.0,0
49-1209,49,1209,3.903285,0.0,0.0,-160.834775,-133.461671,0.0,0
49-75,49,75,3.901108,3.304412,9.016188,0.0,-133.282346,9.178232,0
49-1072,49,1072,3.899777,2.693234,8.051433,-159.958196,-127.69141,8.202591,0
49-593,49,593,3.897602,2.149892,6.286663,0.0,-127.352691,6.348727,0
49-828,49,828,3.892807,0.0,0.0,-161.818214,-133.630609,0.0,0
49-822,49,822,3.892412,0.0,0.0,0.0,-134.103583,0.0,0
49-1121,49,1121,3.876824,2.062055,5.858979,0.0,-133.351262,5.846492,0
49-78,49,78,3.874884,0.0,0.0,0.0,-134.028397,0.0,0
49-416,49,416,3.872144,2.252563,6.816648,-161.993763,-127.592249,6.854043,0
49-1046,49,1046,3.870608,0.0,0.0,0.0,-132.836909,0.0,0
49-767,49,767,3.849854,2.189402,6.608389,-161.701042,-127.558941,6.755035,0
49-1028,49,1028,3.847589,2.262955,6.70456,0.0,-126.975255,6.858236,0
49-1188,49,1188,3.844455,3.033237,8.484498,0.0,0.0,8.596463,0
49-1170,49,1170,3.843191,3.65601,9.41867,0.0,-133.010601,9.32692,0
49-1134,49,1134,3.840726,2.136049,6.543781,-161.107285,-127.360849,6.674874,0
49-169,49,169,3.833769,0.0,0.0,0.0,-133.301647,0.0,0
49-1335,49,1335,3.833463,0.0,0.0,0.0,0.0,0.0,0
49-373,49,373,3.833177,0.0,0.0,-160.855762,0.0,0.0,0
49-902,49,902,3.831882,2.340131,6.844678,-162.169124,-127.295046,6.97809,0
49-1137,49,1137,3.831057,0.0,0.0,-161.924253,-134.032984,0.0,0
49-102,49,102,3.811284,3.085679,8.671712,0.0,-132.570209,8.766642,0
49-453,49,453,3.808993,0.0,0.0,0.0,-133.945989,0.0,0
49-249,49,249,3.80002,0.0,0.0,0.0,-133.314696,0.0,0
49-1198,49,1198,3.790795,0.0,0.0,-160.875862,-133.552208,0.0,0
49-1263,49,1263,3.79022,0.0,5.774363,-161.93888,-128.290251,5.878995,0
49-315,49,315,3.784724,0.0,0.0,-159.854515,0.0,0.0,0
49-89,49,89,3.784052,0.0,0.0,-159.332412,0.0,0.0,0
49-292,49,292,3.782629,0.0,0.0,0.0,0.0,0.0,0
49-85,49,85,3.781606,0.0,0.0,-161.11403,-127.546318,0.0,0
49-1154,49,1154,3.781221,0.0,0.0,-161.806866,-134.117636,0.0,0
49-150,49,150,3.779984,0.0,0.0,0.0,0.0,0.0,0
49-369,49,369,3.776019,0.0,0.0,0.0,0.0,0.0,0
49-446,49,446,3.775271,0.0,0.0,0.0,-133.524612,0.0,0
49-168,49,168,3.772321,0.0,0.0,-162.064668,0.0,0.0,0
49-440,49,440,3.771543,2.152956,6.06968,0.0,-133.405542,6.06527,0
49-163,49,163,3.759573,0.0,0.0,-160.882191,-128.877968,0.0,0
49-115,49,115,3.759015,0.0,0.0,0.0,-133.564101,0.0,0
49-846,49,846,3.757216,2.10037,6.375284,0.0,-127.455587,6.469857,0
49-518,49,518,3.750196,0.0,0.0,0.0,0.0,0.0,0
49-349,49,349,3.749812,0.0,0.0,0.0,0.0,0.0,0
49-993,49,993,3.748504,2.143534,6.177925,0.0,0.0,6.271691,0
49-76,49,76,3.744853,0.0,0.0,0.0,-133.958232,0.0,0
49-42,49,42,3.739147,2.374745,6.806388,-162.226166,0.0,6.837939,0
49-1113,49,1113,3.735464,0.0,0.0,0.0,-133.965157,0.0,0
49-827,49,827,3.735319,0.0,0.0,-160.542753,0.0,0.0,0
49-221,49,221,3.735238,0.0,0.0,0.0,0.0,0.0,0
49-1343,49,1343,3.728155,0.0,0.0,-161.289087,0.0,0.0,0
49-166,49,166,3.726542,0.0,0.0,0.0,-133.901966,0.0,0
49-724,49,724,3.725473,4.495612,12.134377,0.0,0.0,12.262352,0
49-786,49,786,3.722732,2.095088,6.023624,0.0,0.0,6.058021,0
49-1034,49,1034,3.71611,2.544769,6.735018,0.0,0.0,6.8639,0
49-928,49,928,3.711609,0.0,0.0,-160.257772,0.0,0.0,0
49-1300,49,1300,3.708021,2.249127,6.981073,-161.757406,-128.511285,7.298873,0
49-164,49,164,3.705304,0.0,0.0,-162.17562,-128.806189,0.0,0
49-495,49,495,3.703599,0.0,0.0,0.0,0.0,0.0,0
49-1043,49,1043,3.70242,2.417719,7.09097,0.0,0.0,7.250478,0
50-121,50,121,7.916083,7.179268,20.404421,-216.34522,-136.658985,20.547585,0
50-97,50,97,7.497313,4.878048,12.936646,-213.631211,-153.442683,13.072661,0
50-511,50,511,7.270333,6.779192,18.055874,-216.125215,-153.284546,18.328836,0
50-1222,50,1222,6.932242,3.775926,10.576186,-217.236563,-155.370545,10.642917,0
50-277,50,277,6.898049,7.211066,18.512116,-214.037319,-162.519365,18.460909,0
50-186,50,186,6.862128,4.646716,13.371765,-217.441664,-155.844988,13.575459,0
50-798,50,798,6.827039,4.935862,13.464269,-207.187271,-157.214868,13.512038,0
50-215,50,215,6.660395,7.986394,21.970605,0.0,-161.075876,21.95414,0
50-212,50,212,6.655874,5.479824,15.986803,-213.840592,-151.803876,16.283096,0
50-213,50,213,6.654605,4.360229,12.816744,-215.229085,-157.054788,12.881015,0
50-455,50,455,6.640254,3.797711,10.688338,0.0,-157.072627,10.76302,0
50-214,50,214,6.617791,5.791317,15.744693,0.0,-162.561123,15.976244,0
50-409,50,409,6.598305,5.129848,13.220033,0.0,-168.697151,13.228648,0
50-211,50,211,6.59042,3.101514,8.935569,-216.426516,-163.639248,9.097631,0
50-989,50,989,6.567453,5.478232,14.360356,-216.582844,-163.261214,14.2472,0
50-540,50,540,6.564003,4.869443,13.238759,-217.157292,-163.616158,13.473252,0
50-179,50,179,6.554239,3.278694,9.387614,-215.848491,-164.621297,9.261487,0
50-345,50,345,6.545528,4.374972,11.643958,0.0,-162.661328,11.634412,0
50-1199,50,1199,6.506876,3.444776,9.658405,-215.813397,-164.038692,9.722695,0
50-134,50,134,6.47708,5.634563,15.373113,-217.538255,-164.169652,15.643884,0
50-1151,50,1151,6.467721,3.195572,8.597322,0.0,-163.338846,8.634472,0
50-216,50,216,6.407301,5.603826,16.235644,-215.924836,-158.486932,16.562471,0
50-1302,50,1302,6.383704,0.0,0.0,-217.437956,-171.124171,0.0,0
50-680,50,680,6.378809,2.970415,8.103907,0.0,-170.309329,8.21561,0
50-990,50,990,6.376853,4.243115,10.8429,0.0,-171.067417,10.842747,0
50-1200,50,1200,6.347628,2.783691,8.065371,0.0,-163.567327,8.049984,0
50-310,50,310,6.34267,2.800268,7.538876,0.0,-170.550748,7.67862,0
50-988,50,988,6.315843,3.924885,9.424752,0.0,0.0,9.385562,0
50-240,50,240,6.307415,0.0,0.0,-216.452819,-171.714086,0.0,0
50-188,50,188,6.30591,2.500002,6.864798,-217.330141,-172.129488,6.949431,0
50-927,50,927,6.281562,2.666059,7.494482,-212.58761,-165.546385,7.494692,0
50-1233,50,1233,6.268904,2.809144,7.174314,0.0,-170.375213,7.165906,0
50-187,50,187,6.23782,3.667653,10.473093,-217.05082,-159.516655,10.572342,0
50-352,50,352,6.230211,2.774943,8.062147,-217.178982,-171.472906,8.103279,0
50-124,50,124,6.226813,2.700208,7.223116,-217.578902,-171.755225,7.257257,0
50-987,50,987,6.208043,3.165925,8.723657,-216.043182,-171.788356,8.736445,0
50-1202,50,1202,6.207112,3.848642,10.979831,-216.142753,-165.828597,11.238172,0
50-1271,50,1271,6.199735,3.640356,9.922886,-215.511607,-172.364689,10.203006,0
50-1288,50,1288,6.196024,4.225715,11.899811,0.0,-163.791063,12.132469,0
50-341,50,341,6.187374,0.0,0.0,-215.681362,-171.345871,0.0,0
50-221,50,221,6.152633,2.649452,6.980567,0.0,-172.047346,6.935208,0
50-1227,50,1227,6.151641,0.0,0.0,0.0,0.0,0.0,0
50-921,50,921,6.1335,2.622506,7.206224,0.0,-172.266128,7.20777,0
50-945,50,945,6.122361,5.2282,14.293445,0.0,-171.210095,14.452581,0
50-1367,50,1367,6.120388,4.119753,10.892555,0.0,-170.670634,11.026411,0
50-965,50,965,6.112296,0.0,0.0,0.0,0.0,0.0,0
50-1393,50,1393,6.101352,0.0,0.0,0.0,-171.721774,0.0,0
50-1108,50,1108,6.100203,0.0,0.0,-216.471746,0.0,0.0,0
50-410,50,410,6.096803,0.0,0.0,0.0,0.0,0.0,0
50-243,50,243,6.096336,0.0,0.0,0.0,-170.795012,0.0,0
50-1272,50,1272,6.095628,0.0,0.0,0.0,0.0,0.0,0
50-487,50,487,6.092267,4.130718,10.823018,0.0,-171.544542,10.756259,0
50-23,50,23,6.080886,0.0,0.0,0.0,0.0,0.0,0
50-395,50,395,6.075709,3.408876,9.710491,0.0,-166.520697,9.740621,0
50-691,50,691,6.075429,0.0,0.0,0.0,-172.044352,0.0,0
50-1224,50,1224,6.075152,0.0,0.0,-217.201469,-172.59183,0.0,0
50-803,50,803,6.074629,0.0,0.0,0.0,0.0,0.0,0
50-309,50,309,6.073509,0.0,0.0,0.0,-172.293452,0.0,0
50-767,50,767,6.070082,3.280411,9.32989,-216.880112,-166.262327,9.488394,0
50-1228,50,1228,6.06851,2.971154,7.90291,0.0,-171.850704,7.887513,0
50-306,50,306,6.058985,3.2998,9.118203,0.0,-165.352326,9.071615,1
50-1075,50,1075,6.049453,2.892047,7.830134,0.0,-172.889352,7.781426,0
50-1180,50,1180,6.042783,0.0,0.0,0.0,-172.070836,0.0,0
50-1373,50,1373,6.030813,0.0,0.0,-216.266102,-172.995158,0.0,0
50-771,50,771,6.019154,0.0,0.0,0.0,0.0,0.0,0
50-572,50,572,6.018699,2.519724,7.094291,-215.157772,-173.717545,7.140049,0
50-998,50,998,6.011521,0.0,0.0,0.0,0.0,0.0,0
50-171,50,171,6.006166,0.0,0.0,0.0,-165.600572,0.0,0
50-305,50,305,5.986355,2.987617,7.939591,0.0,-172.405596,8.052505,0
50-779,50,779,5.974483,0.0,0.0,0.0,0.0,0.0,0
50-1073,50,1073,5.965689,0.0,0.0,0.0,0.0,0.0,0
50-496,50,496,5.963993,0.0,0.0,0.0,-171.69033,0.0,0
50-122,50,122,5.962119,0.0,0.0,0.0,-173.429768,0.0,0
50-133,50,133,5.960053,0.0,0.0,-217.652833,0.0,0.0,0
50-278,50,278,5.956552,0.0,0.0,0.0,-171.739741,0.0,0
50-1310,50,1310,5.947736,0.0,0.0,-216.971396,0.0,0.0,0
50-237,50,237,5.942914,2.495262,6.995095,0.0,-172.11914,7.001282,0
50-1165,50,1165,5.940396,0.0,0.0,0.0,-171.824654,0.0,0
50-1328,50,1328,5.939163,0.0,0.0,0.0,-173.370059,0.0,0
50-1364,50,1364,5.932185,3.645204,9.516183,0.0,-172.862561,9.566938,0
50-1209,50,1209,5.92678,0.0,0.0,-216.704549,-173.039328,0.0,0
50-903,50,903,5.920313,0.0,0.0,-217.272293,-172.872878,0.0,0
50-574,50,574,5.919342,0.0,6.709337,0.0,-166.465399,6.83789,0
50-1112,50,1112,5.914098,0.0,0.0,0.0,0.0,0.0,0
50-128,50,128,5.913585,0.0,0.0,0.0,-172.946859,0.0,0
50-64,50,64,5.909436,2.502945,6.977876,0.0,-172.537351,7.154209,0
50-333,50,333,5.908102,2.56169,0.0,0.0,0.0,0.0,0
50-556,50,556,5.90596,3.106593,8.921345,0.0,-166.834972,8.984353,0
50-969,50,969,5.905215,2.875492,7.482489,0.0,0.0,7.471972,0
50-85,50,85,5.902729,2.753955,8.105903,-216.665289,-166.520005,8.238799,0
50-1007,50,1007,5.899761,0.0,0.0,0.0,0.0,0.0,0
50-1313,50,1313,5.897415,0.0,0.0,-210.61993,-168.050761,0.0,0
50-170,50,170,5.891192,2.5728,0.0,-216.23383,0.0,0.0,0
50-37,50,37,5.890024,0.0,0.0,0.0,-173.36261,0.0,0
50-1374,50,1374,5.887348,2.515103,6.705155,0.0,-173.168033,0.0,0
50-591,50,591,5.885545,0.0,0.0,0.0,0.0,0.0,0
50-683,50,683,5.882846,0.0,0.0,-217.097108,0.0,0.0,0
50-48,50,48,5.878469,0.0,0.0,0.0,0.0,0.0,0
50-464,50,464,5.876258,0.0,0.0,0.0,-173.453274,0.0,0
50-714,50,714,5.873484,0.0,0.0,0.0,0.0,0.0,0
51-145,51,145,11.505187,9.389587,25.346698,-245.86116,-129.208872,25.429325,0
51-382,51,382,11.336712,9.112329,23.818493,0.0,-129.914679,23.882933,0
51-4,51,4,11.175632,8.561355,21.995668,0.0,-141.273238,22.11143,0
51-611,51,611,10.782727,10.155883,27.238257,-247.265041,-133.975411,27.525002,0
51-23,51,23,10.557391,6.070639,15.817878,-246.611865,-153.382521,15.857255,1
51-309,51,309,10.410334,6.658858,17.299898,-245.031943,-155.420607,17.3468,0
51-306,51,306,10.395403,8.052728,20.681039,-247.716138,-148.227577,20.60765,0
51-96,51,96,10.286475,8.167488,22.848104,-242.151559,-136.392727,23.214642,0
51-1386,51,1386,10.280808,6.351216,17.077181,-244.005028,-150.153621,17.273703,0
51-352,51,352,10.220667,5.658443,15.143799,-244.076652,-155.855806,15.18582,0
51-133,51,133,10.209516,5.617465,14.91516,-244.603232,-156.320837,14.984666,0
51-560,51,560,10.201588,6.412551,17.34355,-242.462098,-149.699506,17.585546,0
51-664,51,664,10.167187,6.290493,15.828295,0.0,-159.093091,15.868603,0
51-375,51,375,10.157446,5.800113,15.251758,-242.791058,-156.733592,15.367837,0
51-180,51,180,10.107166,6.627884,16.724671,0.0,-159.049622,16.812338,0
51-269,51,269,10.103349,5.517628,14.672058,-248.586215,-154.800151,14.565955,0
51-346,51,346,10.09975,6.994487,19.422568,-247.031519,-143.580559,19.844696,0
51-629,51,629,9.992719,7.845933,21.178186,0.0,-148.628455,21.320332,1
51-1355,51,1355,9.954979,7.659311,20.425864,-245.667396,-150.79707,20.447433,0
51-572,51,572,9.916369,6.883556,18.982536,-240.363576,-146.556982,19.110912,0
51-527,51,527,9.820711,6.095849,16.534936,0.0,-148.526347,16.347061,0
51-1278,51,1278,9.78303,7.556591,20.414424,-247.469409,-151.270756,20.666567,0
51-207,51,207,9.746804,5.920161,15.491624,-246.289047,-158.455372,15.758375,0
51-327,51,327,9.729897,6.507754,16.523973,0.0,-155.477885,16.66966,0
51-305,51,305,9.721201,7.899706,21.688595,0.0,-144.439215,22.093054,0
51-784,51,784,9.655762,6.025835,16.450893,-247.871536,-152.010011,16.455389,0
51-562,51,562,9.590739,6.012819,16.925507,-246.369587,-146.081446,16.99013,0
51-1182,51,1182,9.550952,5.997417,16.048107,-247.240695,-159.5399,16.38141,0
51-1282,51,1282,9.541222,7.40209,19.147409,0.0,-159.064195,19.210108,0
51-310,51,310,9.468162,6.599542,17.325522,0.0,-165.074516,17.609463,0
51-308,51,308,9.4656,6.031117,15.721482,-248.773061,-158.949621,15.688755,0
51-1076,51,1076,9.465266,6.788276,17.529291,0.0,-164.433053,17.615192,0
51-348,51,348,9.440256,8.629724,22.098568,0.0,-158.612179,22.062649,0
51-1235,51,1235,9.437395,0.0,0.0,-243.216113,-160.144397,0.0,0
51-1302,51,1302,9.420805,5.030153,13.545013,-247.095708,-166.255843,13.749248,0
51-55,51,55,9.406611,5.563512,14.174553,0.0,-165.705832,14.184337,0
51-381,51,381,9.376125,5.732789,16.337975,-246.799884,-147.474644,16.702448,1
51-1281,51,1281,9.365557,0.0,0.0,-247.025417,-166.902148,0.0,0
51-22,51,22,9.342786,5.224947,13.406174,0.0,-163.854985,13.393206,0
51-1301,51,1301,9.333853,4.989086,13.118051,-248.477329,-166.243721,13.178847,0
51-459,51,459,9.330222,0.0,12.879105,-244.913797,-160.814308,12.87348,0
51-1237,51,1237,9.325344,6.168606,16.05829,0.0,-164.586497,16.054773,0
51-155,51,155,9.324742,5.3008,14.674759,-245.047705,-154.110286,14.891972,0
51-996,51,996,9.279801,6.041314,16.34078,-244.854006,-154.850323,16.598816,0
51-9,51,9,9.26797,5.559446,14.828427,-243.605435,-162.058595,14.848578,0
51-899,51,899,9.257251,5.08948,13.57426,0.0,-159.802817,13.685093,0
51-1324,51,1324,9.253479,5.528417,15.304534,0.0,-153.204384,15.35999,0
51-135,51,135,9.252948,6.614982,17.596546,0.0,-153.720285,17.621704,0
51-61,51,61,9.228591,4.784375,0.0,0.0,-165.825876,0.0,0
51-2,51,2,9.21832,5.173073,13.139946,-247.452556,0.0,13.2179,0
51-54,51,54,9.189325,5.414584,14.568132,-247.652503,-161.133591,14.50199,0
51-481,51,481,9.17223,5.240014,14.120011,0.0,-158.165281,14.186472,0
51-342,51,342,9.159847,5.062449,14.350639,-246.879955,-154.462971,14.591913,0
51-1375,51,1375,9.156111,5.593248,15.102063,-244.322774,-161.848753,15.235524,0
51-1325,51,1325,9.153407,5.795484,16.586306,-243.977883,-149.695837,16.640802,0
51-1220,51,1220,9.144519,5.294232,14.543649,-247.271944,-160.842155,14.395386,0
51-21,51,21,9.142042,6.046062,15.589827,0.0,-169.500861,15.642242,0
51-565,51,565,9.119158,0.0,0.0,-247.072537,-167.544479,0.0,0
51-1200,51,1200,9.11912,5.515889,14.482992,0.0,-166.616585,14.458136,0
51-240,51,240,9.102152,0.0,0.0,-246.24479,-168.082073,0.0,0
51-788,51,788,9.096943,5.998724,16.5071,-248.158646,-161.546699,16.432356,0
51-304,51,304,9.081166,5.153441,13.930632,-245.66417,-162.198487,14.119225,0
51-475,51,475,9.057765,0.0,0.0,0.0,-166.042317,0.0,0
51-326,51,326,9.037972,6.044993,14.950881,0.0,-170.076205,14.886871,1
51-1254,51,1254,9.025369,0.0,0.0,0.0,-166.082617,12.863791,0
51-1370,51,1370,9.024515,5.30722,14.217207,-247.216,-161.915599,14.315955,0
51-1228,51,1228,9.01761,0.0,0.0,0.0,0.0,0.0,0
51-528,51,528,9.010833,0.0,0.0,0.0,-167.249339,0.0,0
51-377,51,377,8.987938,0.0,0.0,0.0,0.0,0.0,0
51-255,51,255,8.983074,5.504029,14.720432,-248.296388,-168.220453,14.764314,0
51-1225,51,1225,8.959878,5.055751,13.523622,-245.96622,-162.729022,13.687407,0
51-458,51,458,8.911854,0.0,0.0,-247.219299,0.0,0.0,0
51-754,51,754,8.910933,5.015026,14.025648,0.0,-161.175352,14.079279,0
51-1072,51,1072,8.907813,5.77488,16.462492,-242.850762,-156.881059,16.71118,0
51-1385,51,1385,8.898369,4.850826,13.302413,0.0,-161.531773,13.614313,0
51-383,51,383,8.886316,0.0,0.0,0.0,0.0,0.0,0
51-389,51,389,8.854996,5.889811,14.49847,0.0,0.0,14.571345,0
51-547,51,547,8.846158,6.602813,17.965319,0.0,-153.59303,18.043934,0
51-307,51,307,8.802153,9.004848,25.164871,0.0,-147.873848,25.475428,0
51-789,51,789,8.786396,0.0,0.0,0.0,0.0,0.0,0
51-117,51,117,8.744108,5.972112,16.812268,0.0,-167.582991,16.847872,0
51-364,51,364,8.741884,5.027074,13.642538,-244.146514,0.0,13.654785,0
51-328,51,328,8.735647,0.0,0.0,-246.862067,0.0,0.0,0
51-1180,51,1180,8.733279,0.0,0.0,0.0,0.0,0.0,0
51-736,51,736,8.722814,4.773126,0.0,0.0,0.0,0.0,0
51-50,51,50,8.712901,6.255414,17.014494,0.0,-155.199175,17.282478,0
51-388,51,388,8.688593,0.0,0.0,0.0,0.0,0.0,0
51-134,51,134,8.681866,5.073619,13.750823,0.0,-169.6239,13.978072,0
51-943,51,943,8.679336,5.230345,13.897741,0.0,-168.708443,14.062669,0
51-72,51,72,8.67513,6.256384,17.142009,-247.742951,-157.100618,17.097628,0
51-105,51,105,8.674143,0.0,0.0,0.0,0.0,0.0,1
51-1107,51,1107,8.666795,5.023665,12.947467,-248.227217,0.0,12.858759,0
51-1383,51,1383,8.666465,0.0,0.0,-247.784991,0.0,0.0,0
51-94,51,94,8.664933,0.0,12.829244,-241.925307,-164.93248,0.0,1
51-267,51,267,8.618718,0.0,0.0,0.0,-163.03175,0.0,0
51-334,51,334,8.61747,5.39122,14.898204,-248.725132,-156.879804,14.860842,0
51-73,51,73,8.613373,0.0,0.0,-244.814827,0.0,0.0,0
51-661,51,661,8.604727,0.0,0.0,0.0,0.0,0.0,0
51-568,51,568,8.542107,7.406491,19.586265,0.0,-161.878813,19.679346,0
51-569,51,569,8.541982,5.608187,15.616429,-248.675398,-158.041014,15.767139,0
52-921,52,921,5.609758,5.059052,13.883801,-184.019658,-133.795673,13.908565,0
52-1031,52,1031,5.549629,7.550031,20.085548,0.0,-132.846422,20.335354,0
52-1362,52,1362,5.466423,6.345886,17.652414,-186.037479,-127.380999,17.657545,0
52-919,52,919,5.34785,4.837062,12.954289,-185.802753,-134.826484,13.199182,0
52-677,52,677,5.335154,4.615596,13.038616,-182.141585,-135.649822,13.2926,0
52-227,52,227,5.333852,3.739432,9.661519,-184.91882,-141.472343,9.702659,0
52-367,52,367,5.280593,4.509038,11.780635,0.0,-140.649137,11.676854,0
